Customer,Date,Dc.no,Part.no,Part description,Qty,Rate,Value,Fwt,Thick,Target  Manpower,variation Manpower,Actual Manpower,Target RawMaterial(Cost),variation RawMaterial,Actual RawMaterial,Target Machinepower(Cost),variation Machine power,Actual Machine power,Target Overhead(Cost)or Profit,variation overhead ,Actual Overhead or profit,Unnamed: 22
Company A,01/11/2022,3730,5XD330014,LDB3 LH STRUTURE WIT,1.00,"151,488.00","151,488.00",831.63,1.6 CR,18178.56,1.980096375,18180.5401,90892.8,-5.502419304,90887.29758,19693.44,1.697625535,19695.13763,22723.2,-1.52920635,22721.67079,1.0
Company B,01/11/2022,3731,56916613050,SPLASH GUARD KIT (ST,1.00,"64,622.00","64,622.00",312.7,2 CR,7754.64,-3.202724367,7751.437276,38773.2,-3.006844544,38770.19316,8400.86,3.36770971,8404.22771,9693.3,-5.213218376,9688.086782,1.0
Company B,01/11/2022,3731,56919102520,COOLANT TANK KIT  (S,1.00,"13,916.00","13,916.00",56.372,2 CR,1669.92,-2.553176869,1667.366823,8349.6,3.725417192,8353.325417,1809.08,-3.311332229,1805.768668,2087.4,-4.211555512,2083.188444,1.0
Company C,01/11/2022,3732,506575057,SHIFTING SHEET COMPL,50.00,294.73,"14,736.50",1.76,1.5 CR,1768.38,-4.76574391,1763.614256,8841.9,-6.267274419,8835.632726,1915.745,-2.216832632,1913.528167,2210.475,3.728375098,2214.203375,1.0
Company C,01/11/2022,3733,5G0132237,ROLLER BEAM EXT HEAD,53.00,279.37,"14,806.61",2.2,4 HR,1776.7932,7.124880976,1783.918081,8883.966,-0.5632217319,8883.402778,1924.8593,7.746471969,1932.605772,2220.9915,3.539707717,2224.531208,1.0
Company C,01/11/2022,3733,5G0132238,ROLLER BEAM EXT HEAD,53.00,279.37,"14,806.61",2.2,4 HR,1776.7932,-3.159218612,1773.633981,8883.966,-4.671969629,8879.29403,1924.8593,-1.616821266,1923.242479,2220.9915,-1.113148632,2219.878351,1.0
Company C,01/11/2022,3734,5G0503217,TOP SAFETY SWITCH HO,14.00,66.80,935.20,0.35,4 HRPO,112.224,0.3531319021,112.5771319,561.12,-0.825867397,560.2941326,121.576,-3.058718411,118.5172816,140.28,-4.057919491,136.2220805,1.0
Company C,01/11/2022,3735,SF5G0132894,OIL TRAY FRONT ASSLY,30.00,176.40,"5,292.00",0.742,2 CR,635.04,-0.3466603135,634.6933397,3175.2,-3.140044582,3172.059955,687.96,-1.480740066,686.4792599,793.8,-0.5869366088,793.2130634,1.0
Company D,01/11/2022,3736,5610284760XC,BRACKET,6.00,378.00,"2,268.00",2.419,6 HR,272.16,-2.362031436,269.7979686,1360.8,-1.661236581,1359.138763,294.84,0.05890553479,294.8989055,340.2,4.210503953,344.410504,1.0
Company D,01/11/2022,3736,5610284770XC,BRACKET,2.00,381.00,762.00,2.419,6 HR,91.44,0.2888055092,91.72880551,457.2,0.3971911439,457.5971911,99.06,-2.026661368,97.03333863,114.3,-0.1160320661,114.1839679,1.0
Company D,01/11/2022,3736,5610284780XC,BRACKET,2.00,363.00,726.00,2.326,6 HR,87.12,-0.6672371053,86.45276289,435.6,0.8131105437,436.4131105,94.38,-1.48034681,92.89965319,108.9,0.6578593417,109.5578593,1.0
Company D,01/11/2022,3736,5610284790XC,BRACKET,4.00,363.00,"1,452.00",2.326,6 HR,174.24,1.608848013,175.848848,871.2,1.080118639,872.2801186,188.76,0.5816086649,189.3416087,217.8,1.057076428,218.8570764,1.0
